	NAME	LATITUDE	LONGITUDE
207	ALDERSGATE UMC KINDER PREP	36.84589	-76.413641
208	ALLIED NATIONAL HIGH SCHOOL	33.623042185	-117.729524475
209	ANGELDEER LEARNING CENTER	37.693759843	-77.436345822
210	ANN & MICHELE'S CHILD CARE CENTER	36.73737	-76.335081
211	ATLEE CHRISTIAN ACADEMY	37.63488	-77.388181
212	AURORA SCHOOL	39.122227248	-77.553451449
213	CORNERSTONE CHRISTIAN ACADEMY	38.68520597	-77.318080589
214	CORNERSTONE PRESCHOOL AND LIFE ACADEMY	38.35565	-77.514381
215	DEMI/GOOD SHEPHERD SCHOOL & DAY CARE	38.08467	-78.931161
216	DISCOVERY SCHOOL OF VIRGINIA FOR GIRLS	37.528574	-78.330381
217	EARTHSONG COMMUNITY SCHOOL	37.784558584	-79.433053578
218	LITTLE FLOCK CHRISTIAN ACADEMY	38.82987	-77.358051
219	GRAFTON INTEGRATED HEALTH NETWORK - BERRYVILLE	39.144311466	-77.942610929
220	GRAFTON INTEGRATED HEALTH NETWORK - RICHMOND	37.43541087	-77.591790286
221	GREAT BRIDGE CHRISTIAN ACADEMY	36.705485692	-76.212187675
222	HALIFAX CHRISTIAN SCHOOL	36.728608642	-78.919216379
223	HERITAGE ACADEMY	36.749273081	-79.409389973
224	LONDON BRIDGE BAPTIST PRESCHOOL AND KINDERGARDEN	36.83719087	-76.054942184
225	MATTHEW'S CENTER FOR VISUAL LEARNING	38.78212	-77.514761
226	MINNIELAND ACADEMY @ BELMONT	39.06486	-77.483091
227	MINNIELAND ACADEMY @ KIRKPATRICK FARMS	38.91618	-77.556651
228	MINNIELAND ACADEMY @ SOUTH RIDING	38.915	-77.511631
229	NATIONAL HIGH SCHOOL	34.06263	-84.169321
230	SPIRIT OF LIFE MINISTRIES COGIC	37.03701	-76.357451
231	ST STEPHENS ST AGNES DAYSCHOOL	38.82484913	-77.068342653
232	SUMMIT CHRISTIAN ACADEMY	37.120855849	-76.435779347
233	THE DEL RAY MONTESSORI SCHOOL	38.82465	-77.059761
234	ALGER LEARNING CENTER- INC.	48.646055535	-122.331865508
235	BELLEVUE CHRISTIAN MACK ELEMENTARY	47.758810795	-122.114616391
236	BLOSSOMING HILL MONTESSORI	47.407916205	-122.02182946
237	CALVARY CHRISTIAN SCHOOL	46.202462749	-119.252894751
238	CEDAR PARK CHRISTIAN - MOUNTLAKE TERRACE CAMPUS	47.784040914	-122.305371457
239	CHRIST THE KING SCHOOL	46.282701357	-119.285542022
240	DARTMOOR SCHOOLS	47.77513	-122.181391
241	NATIONAL CATHEDRAL SCHOOL	38.931184746	-77.072173117
242	NATIONAL CHILDREN'S CENTER	38.965236973	-77.014164845
243	OUR LADY OF VICTORY SCHOOL	38.916011637	-77.094430046
244	RIVER SCHOOL	38.917738729	-77.097923181
245	ROOTS ACTIVITY LEARNING CENTER	38.96622491	-77.009314248
246	SACRED HEART SCHOOL	38.932349743	-77.03778661
247	SHERIDAN SCHOOL	38.946843998	-77.070259685
248	SIDWELL FRIENDS SCHOOL	38.94047312	-77.074322287
249	ST ALBANS SCHOOL	38.928408274	-77.071849123
250	ST ANTHONY CATHOLIC SCHOOL	38.931746133	-76.991455626
251	ST AUGUSTINE CATHOLIC SCHOOL	38.918337589	-77.033321835
252	THE FRENCH MATERNAL SCHOOL	38.909532963	-77.062149599
253	WASHINGTON JESUIT ACADEMY	38.943388533	-76.993660748
254	BRADFORD CHRISTIAN ACADEMY	29.95122433	-82.081672382
255	COVENANT CHRISTIAN SCHOOL	30.191801792	-85.691419942
256	HOLY NATIVITY EPISCOPAL SCHOOL	30.150623717	-85.646902793
257	HOPE CHRISTIAN ACADEMY	29.839331497	-82.066115581
258	KALEIDOSCOPE SCHOOL OF DISCOVERY	30.191529988	-85.661912167
259	NORTHSIDE CHRISTIAN ACADEMY	30.040435573	-82.167680186
